code,gradeABC,sciencea,scienceb,biology,chemstry,geology,mathstat,elctrncs,infostds,cdt,art.desi,history,geogrphy,religstd,sociasci,english,eng.lit,music,expr.art,dance,drama,mediastd,latin,clasiciv,humanti,french,german,spanish,busicomm,sportstd,catering
1249,10,8,8,,,,6,,,,,7,,8,,7,7,8,,,,,,,,8,,8,,,
1250,4,4,,,,,3,,,,,,,,5,5,4,,,,5,,,,,,,,,5,
1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,1,4,4,,,,3,,,,,,3,1,,4,2,,,,,,,,,,,,,5,
1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,4,4,4,,,,3,,,,2,,,,,5,4,,,,5,,,,,,,,6,,
1270,11,6,6,,,,6,,,6,,6,6,6,,6,6,,,,6,,,,,6,,,,,
1271,0,1,1,,,,1,,,,,,,,,3,3,,,,,,,,,,,,,,
1272,1,2,2,,,,2,,,3,1,4,,,,5,,,,,,3,,,,,,,,,
1273,2,2,2,,,,3,,,4,,2,,,,5,5,3,,,,,,,,3,,,,,
1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,0,2,2,,,,1,,,3,3,,1,,,2,,,,,,,,,,,,,,,
1280,6,6,6,,,,5,,,4,,4,,2,5,5,6,,,,,,,,,,,4,,,
1283,3,5,5,,,,4,,,2,5,,4,,,3,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,0,4,4,,,,,,,2,,,,,,1,,,,,,,,,,,,,,3,
1291,10,6,6,,,,5,,,,,,4,6,,6,6,,,,6,,,,,7,,7,,,
1292,0,3,,,,,3,,2,,,,,3,,4,4,,,,,,,,,,,,,,
